iter	Passed	Remaining
0	102	102517
1	104	52005
2	105	35209
3	107	26691
4	108	21601
5	109	18197
6	111	15765
7	112	13986
8	114	12635
9	117	11605
10	119	10766
11	122	10053
12	124	9476
13	127	8975
14	130	8550
15	132	8162
16	135	7838
17	138	7546
18	140	7268
19	143	7036
20	146	6825
21	149	6629
22	151	6439
23	154	6268
24	156	6111
25	159	5987
26	162	5871
27	165	5742
28	168	5636
29	171	5540
30	174	5455
31	176	5353
32	179	5273
33	182	5198
34	186	5131
35	189	5065
36	192	4997
37	194	4931
38	197	4865
39	199	4798
40	203	4755
41	204	4673
42	207	4622
43	210	4570
44	213	4535
45	216	4491
46	218	4440
47	221	4399
48	223	4331
49	226	4298
50	229	4262
51	231	4226
52	234	4188
53	236	4149
54	239	4111
55	242	4084
56	244	4052
57	247	4019
58	249	3985
59	252	3950
60	254	3916
61	257	3891
62	260	3876
63	262	3845
64	265	3818
65	268	3795
66	270	3767
67	273	3741
68	275	3717
69	278	3697
70	280	3672
71	282	3642
72	284	3614
73	286	3591
74	289	3567
75	291	3543
76	293	3521
77	295	3496
78	297	3472
79	299	3447
80	301	3425
81	303	3400
82	304	3368
83	306	3342
84	308	3317
85	310	3295
86	311	3273
87	313	3252
88	315	3231
89	317	3214
90	320	3197
91	321	3176
92	323	3155
93	325	3137
94	327	3118
95	329	3098
96	330	3076
97	332	3057
98	333	3039
99	335	3023
100	337	3002
101	338	2982
102	340	2964
103	341	2946
104	343	2927
105	345	2910
106	347	2898
107	349	2883
108	350	2866
109	352	2849
110	353	2832
111	355	2816
112	356	2800
113	358	2784
114	359	2767
115	361	2751
116	362	2736
117	364	2722
118	365	2706
119	367	2691
120	368	2676
121	369	2661
122	371	2647
123	372	2632
124	374	2619
125	375	2607
126	377	2593
127	379	2586
128	381	2575
129	382	2560
130	384	2548
131	385	2536
132	387	2523
133	388	2510
134	390	2499
135	391	2488
136	393	2477
137	394	2466
138	396	2454
139	397	2442
140	399	2432
141	400	2419
142	401	2407
143	403	2397
144	404	2386
145	406	2375
146	407	2366
147	409	2356
148	410	2344
149	411	2333
150	413	2322
151	414	2314
152	416	2305
153	417	2294
154	419	2284
155	420	2276
156	422	2268
157	424	2260
158	425	2251
159	426	2241
160	427	2229
161	429	2220
162	430	2211
163	432	2203
164	433	2193
165	434	2185
166	436	2177
167	438	2169
168	439	2161
169	441	2153
170	442	2144
171	443	2136
172	445	2129
173	446	2120
174	448	2112
